阶段 0，第 1 章：宇宙

---

1.1 第一缕光

Q1: 在纪律严明的劳动的新教伦理之下，是持续数个世纪的中世纪等级制，其中每个农民都被束缚于一个领主。这个制度是
A 专制主义。
B 封建主义。
C 重商主义。
D 仅指农奴制。
A1: B

Q2: 公共政策应最大化全体人口总福利的学说，由边沁阐述为
A 仅指自由主义。
B 功利主义。
C 仅指后果论。
D 实用主义。
A2: B

Q3: 二十世纪后期贸易、通讯和资本流动在曾经分离的经济体之间的融合被称为
A 工业化。
B 全球化。
C 城市化。
D 仅指自由化。
A3: B

---

9.52 北地长光

斯堪的纳维亚的审美是由漫长黑暗的冬季、丰富的浅色木材和极少的金属铸就的。由此产生的设计哲学强调干净的线条、不加装饰的浅色木材，以及功能允许的最少视觉装饰。瑞典家具零售商宜家将这种审美与平板包装运输和实惠的价格点结合起来，将斯堪的纳维亚的极简主义输出到各大洲的学生卧室。丹麦的“hygge”概念指的是蜡烛、毯子、热饮和亲密陪伴的小型家庭仪式，它将寒冷的夜晚转化为温暖的夜晚。斯堪的纳维亚北部的萨米人，是欧洲唯一的原住民，继续带着他们的驯鹿在北极圈内迁徙。他们头顶的极地天空周期性地被绿色和紫色的极光帷幕照亮，而北极圈上方的仲夏太阳则从不落下。

Q1: 宜家通过将其审美与实惠的价格和称为___的运输创新相结合，将斯堪的纳维亚极简主义输出到全世界。
A 散装货运。
B 平板包装。
C 仅指集装箱模块化运输。
D 可折叠板条箱。
A1: B

Q2: 丹麦关于蜡烛、毯子、热饮和亲密陪伴的小型家庭仪式的概念称为
A 适度。
B 温馨。
C 户外生活。
D 咖啡时间。
A2: B

Q3: 斯堪的纳维亚北部的萨米人继续与成群的___一起穿越北极圈迁徙。
A 麋鹿。
B 驯鹿。
C 仅指北美驯鹿。
D 北极羊。
A3: B

---

9.53 巴尔干再次燃烧

南斯拉夫联邦在铁托的铁腕总统任内，将六个南斯拉夫共和国、四种语言和三种宗教维系在一起；当他去世时，联邦开始沿着那些他曾焊接封闭的族群和宗教断层线解体。萨拉热窝，这个第一次世界大战被点燃的城市，现在被周围山上的塞尔维亚炮兵围困了近四年，这是现代欧洲历史上对任何首都的最长围困。波斯尼亚塞族部队在斯雷布雷尼察一周内处决了大约八千名波什尼亚克男子，这是自大屠杀以来欧洲所遭受的最严重的单一暴行。在科索沃，阿尔巴尼亚族居民被赶出家园，直到北约的空中力量迫使塞尔维亚军队撤离。在整个解体过程中，约有十五万人丧生，这些战争所产生的边界在本世纪仍然政治不稳定。

Q1: 南斯拉夫以___的政治形式，将六个南斯拉夫共和国、四种语言和三种宗教维系在一起。
A 仅指邦联。
B 铁托领导下的联邦。
C 单一制王国。
D 联邦。
A1: B

Q2: 萨拉热窝承受了塞尔维亚炮兵近四年的长时间军事包围，即
A 封锁。
B 围城。
C 仅指炮击。
D 占领。
A2: B

Q3: 波斯尼亚塞族部队在斯雷布雷尼察一周内处决了大约八千名波什尼亚克男子，这一暴行应被恰当地归类为
A 集体迫害。
B 构成种族灭绝的大屠杀。
C 驱逐。
D 军事交战。
A3: B

---

9.54 墙倒，边界开

四十年间，柏林墙将一个德国城市分为西边的资本主义半部和东边的共产主义半部，直到东德政府无力控制自己街道上不断扩大的示威活动，突然中止了边境管制，整座墙在欣喜若狂的人群中被拆毁，这一切发生在一个欢欣鼓舞的夜晚。随之而来的苏联体制崩溃，使西欧得以组织成欧洲联盟，取消内部海关，开放边境，并最终采用单一货币。战后的欧洲计划实现了几十年前所未有的繁荣。第一次重大裂痕发生在英国投票决定脱离联盟之时，第二次则发生在俄罗斯入侵欧洲大陆东缘的乌克兰之时，使工业化战争在近八十年后重返欧洲大地。

Q1: 四十年间，一个德国城市被柏林___分为资本主义和共产主义两半。
A 壕沟。
B 墙。
C 围栏。
D 运河。
A1: B

Q2: 大多数欧盟成员国最终采用了称为___的单一共享货币。
A 法郎。
B 欧元。
C 英镑。
D 马克。
A2: B

Q3: 俄罗斯在2022年通过发动对乌克兰的全面___，使工业化战争重返欧洲大陆。
A 封锁。
B 入侵。
C 网络攻击。
D 禁运。
A3: B

---

9.55 每个婴儿脑中的语法

整个二十世纪的欧洲语言学阐述了研究人类语言实际运作方式的学科。瑞士语言学家费迪南·德·索绪尔在他去世后才出版的讲座中，阐述了语言的抽象系统（语言）与个人的言说时刻（言语）之间的结构区别，从而开创了整个结构主义传统。美国人诺姆·乔姆斯基提出了具有全球性影响的假说，即每个婴儿出生时大脑中就已编码了一种普遍语法，这是一套遗传的句法模板，任何特定的语言都用其本地词汇填入其中。现代语言学分为语音学（研究物理声音）、句法学（研究语法结构）、语义学（研究意义）、语用学（研究语境）和话语分析（研究更大的对话结构）。每种语言的词汇仍然是翻译中最抗拒转换的元素；双语儿童从婴儿期起就同时使用两个词汇库，随着社会情境的转换毫不费力地切换。翻译理论家阐述了语言间完美对等的不可可能性、隐喻与文化的不可避免的黏连、每次直接翻译中丢失的细微差别、每个词随着代际更迭而转变的时代风味，以及语调、轶事、雄辩、暗示和其他非语言线索在塑造听众实际接收到的修辞中所起的作用。在纵向研究中，双语成长的有益认知效果已被反复证实。然而，语言与思维之间的关系仍是一个脆弱的理论领域：强萨丕尔-沃尔夫假说被一些人视为谬误，被另一些人视为部分真理，而对翻译对等性的怀疑则只有加深。欧洲大学因此重组了其语言课程，将翻译作为一门独立的学科纳入，配有专门的课程大纲和公认的教学法。

Q1: 乔姆斯基提出，每个婴儿出生时大脑中就已编码了一种遗传的句法模板。他称之为
A 仅指语言本能。
B 普遍语法。
C 认知词汇库。
D 心理词典。
A1: B

Q2: 研究言语物理声音的语言学分支是
A 仅指音系学。
B 语音学。
C 语义学。
D 语用学。
A2: B

Q3: 研究语法结构的语言学分支是
A 语义学。
B 句法学。
C 仅指形态学。
D 话语分析。
A3: B

---

第0阶段，第10章：北美

---

10.1 白令陆桥

在多个冰河时代中，全球海洋水位下降得足够多，以至于在西伯利亚和阿拉斯加之间出现了一条宽阔的陆地走廊，露出了如今白令海所在的干燥苔原。追踪猛犸象和野牛群的亚洲猎人群体向东越过裸露的陆桥，几千年内，他们的后代已经遍布从育空到火地岛的每个可居住的美洲地区。同样的猎人，似乎与气候变暖共同作用，几乎消灭了他们遇到的所有冰河时代巨型动物群。猛犸象、巨型地懒、剑齿虎、巨型短面熊、美洲骆驼以及其他数十种大型哺乳动物，在人类到达后的几千年内从化石记录中消失了。这片接收了第一批美洲人的大陆，在他们自身在这片大陆上站稳脚跟之前，就已经被他们所重塑。

问题1： 亚洲猎人首次东行进入美洲所经过的干燥苔原走廊是
A 阿留申弧。
B 白令陆桥。
C 乘独木舟的白令海峡。
D 西北航道。
答案1： B

问题2： 在人类到达后几千年内被消灭的冰河时代巨型动物群包括
A 霍加狓。
B 猛犸象。
C 平原斑马。
D 藏羚羊。
答案2： B

问题3： 以其细长的犬齿而闻名，现已从化石记录中消失的美洲食肉动物是
A 美洲虎。
B 短面熊。
C 剑齿虎。
D 灰狼。
答案3： C

---

10.2 玛雅金字塔

在中美洲丛林深处，一个复杂的本土文明兴起，它与欧亚文化没有任何接触。玛雅人建造了阶梯式石金字塔，高耸于周围的树冠之上；发展出一种象形文字书写系统，记录了天文学和皇家谱系；并阐述了一套极其精确的历法，千年之后累积的误差不到一天。他们的天文学家已经足够精确地计算了金星的轨道，可以提前几个世纪预测其出现。然后，在大约一个世纪的时间里，南部低地几乎所有的主要玛雅城市都被简单遗弃了。人口分散到较小的社区，周围的丛林重新占领了这些平台。考古学家仍在争论是干旱、内部战争、生态崩溃，还是这些因素的某种组合终结了低地玛雅人，但没有一种单一的解释能完全说明这种遗弃的规模。

问题1： 建造了阶梯式石金字塔并发明了象形文字书写系统的中美洲丛林文明是
A 阿兹特克。
B 印加。
C 奥尔梅克。
D 玛雅。
答案1： D

问题2： 玛雅天文学家计算了轨道并提前几个世纪预测其出现的天体是
A 火星。
B 金星。
C 木星。
D 土星。
答案2： B

问题3： 考古学家认为可能促成了低地玛雅城市终结的气候灾难是
A 干旱。
B 火山冬天。
C 冰河时代的寒冷。
D 海啸。
答案3： A

---

10.3 湖中之城

在墨西哥中部的高原山谷中，阿兹特克人建造了漂浮的城市特诺奇蒂特兰，这是一座被运河纵横交错的岛屿大都市，由奇南帕农业筏供养，并通过高出水面的堤道与周围的湖岸相连。在其帝国鼎盛时期，这座城市的人口超过了同时代的任何欧洲城市。西班牙征服者科尔特斯带着几百名士兵到达墨西哥，与那些不满阿兹特克统治的被征服原住民族群结盟，并以客人的身份进入城市，随后将皇帝蒙特祖马扣为人质。然而，真正的征服是由一种病毒完成的。天花伴随着西班牙人，在受感染的水手体内传播，通过没有免疫力的原住民群体传播，在几个月内消灭了特诺奇蒂特兰大约一半的居民，包括新皇帝。随后，西班牙人拆除了这座城市本身，并在其废墟上建造了现代墨西哥城。

问题1： 特诺奇蒂特兰由被称为下列哪项的漂浮农业筏供养？
A 堤道。
B 奇南帕。
C 渡槽。
D 运河。
答案1： B

问题2： 当科尔特斯将蒙特祖马扣为人质时，他的角色是
A 总督。
B 西班牙征服者。
C 教皇特使。
D 西班牙舰队司令。
答案2： B

问题3： 通过消灭特诺奇蒂特兰大约一半人口而真正征服了阿兹特克人的病毒是
A 仅麻疹。
B 天花。
C 斑疹伤寒。
D 黄热病。
答案3： B

---

## 10.1 白令陆桥
在多次冰河时期中，全球海洋表面下降得足够低，以至于在西伯利亚和阿拉斯加之间出现了一条宽阔的陆地通道，将如今白令海所覆盖的区域暴露为干燥的苔原。追踪猛犸象和野牛群的亚洲猎人小队向东跨越了这条暴露的陆桥，在几千年的时间里，他们的后代在美洲从育空到火地岛的每个适宜居住的地区定居下来。这批猎人与变暖的气候共同作用，似乎消灭了他们所遇到的几乎所有冰河时代的巨型动物群。在人类到达后的几千年内，猛犸象、巨型地懒、剑齿虎、巨型短面熊、美洲骆驼以及数十种其他大型哺乳动物都从化石记录中消失了。这片迎来第一批美洲人的大陆，在他们自己于此站稳脚跟之前，就已经被他们重新塑造了。
**Q1:** 亚洲猎人最初向东进入美洲所通过的干燥苔原通道是
A 阿留申弧。
B 白令陆桥。
C 乘独木舟横渡白令海峡。
D 西北航道。
**A1:** B
**Q2:** 在人类到达后几千年内被消灭的冰河时代巨型动物包括
A 霍加狳。
B 猛犸象。
C 平原斑马。
D 藏羚羊。
**A2:** B
**Q3:** 以其特长的犬齿闻名、现已从化石记录中消失的美洲食肉动物是
A 美洲豹。
B 短面熊。
C 剑齿虎。
D 灰狼。
**A3:** C
## 10.2 马雅金字塔
在中美洲丛林的深处，一个成熟的本土文明在没有与欧亚文化接触的情况下兴起。马雅人建造了高耸于周围树冠之上的阶梯状石造金字塔，设计了一套记录天文学和皇家谱系的象形文字系统，并制定了极其精确的历法，历经千年后的累计误差竟然不到一天。他们的天文学家已经足够准确地计算出金星的轨道，以至于可以提前几个世纪预测它的出现。然而，在短短大约一个世纪的时间里，南部低地几乎所有主要的马雅城市都被完全废弃了。人口消散到更小的社区中，周围的丛林重新吞噬了这些建筑平台。考古学家们至今仍在争论是干旱、内部战争、生态崩溃还是这些因素的某种结合导致了低地马雅文明的终结，但还没有任何单一的解释能够说明如此大规模废弃的完整原因。
**Q1:** 建造了阶梯状石造金字塔并设计了象形文字系统之中美洲丛林文明是
A 阿兹特克。
B 印加。
C 奥尔梅克。
D 马雅。
**A1:** D
**Q2:** 马雅天文学家计算了其轨道并提前几个世纪预测其出现的星球是
A 火星。
B 金星。
C 木星。
D 土星。
**A2:** B
**Q3:** 考古学家认为可能有助于终结低地马雅城市的气候灾难是
A 干旱。
B 火山冬天。
C 冰河期变冷。
D 海啸。
**A3:** A
## 10.3 湖中之城
在墨西哥中部的核心高地山谷中，阿兹特克人建造了漂浮之城特诺奇蒂特兰。这是一座由运河纵横交错、由“琴帕纳”（人工生态浮岛）农业浮筏供养、并通过加高堤道与周围湖岸相连的岛屿大都市。在帝国的鼎盛时期，这座城市拥有的居民比当时欧洲任何一座城市都要多。西班牙征服者皮萨罗和科尔特斯（此处文本指科尔特斯）带着几百名士兵抵达墨西哥，与怨恨阿兹特克统治的被征服本土部族结盟，并以客人的身份进入这座城市，随后将皇帝蒙特祖马扣为人质。然而，真正的征服是由一种病毒完成的。天花伴随着感染的西班牙水手在本土人口中传播，而本土人口对此毫无免疫力，在几个月内就消灭了特诺奇蒂特兰大约一半的居民，其中包括新皇帝。随后，西班牙人拆毁了这座城市本身，并在其废墟上建造了现代的墨西哥城。
**Q1:** 特诺奇蒂特兰是由被称为以下哪种名称的漂浮农业浮筏供养的
A 堤道。
B 琴帕纳（奇南帕）。
C 输水道。
D 运河。
**A1:** B
**Q2:** 当科尔特斯将蒙特祖马扣为人质时，他的身份是
A 总督。
B 西班牙征服者。
C 教皇使节。
D 西班牙舰队海军上将。
**A2:** B
**Q3:** 通过消灭特诺奇蒂特兰大约一半人口从而真正征服了阿兹特克人的病毒是
A 仅有麻疹。
B 天花。
C 斑疹伤寒。
D 黄热病。
**A3:** B
## 10.4 平原与联盟
在北美内陆辽阔的草地上，苏族、夏延族和几个盟族发展出了整个围绕着季节性捕猎美洲野牛而组织起来的文化。野牛提供了肉类、搭建庇护所的兽皮、做弓弦的肌腱、做工具的角，甚至是那片没有树木的草原上用作燃料的粪便。在东边，易洛魁联盟将五个独立的部族统一在一个单一的协商议会之下，该议会阐明了权力分立、联邦授权和获得被统治者同意的宪政结构。本杰明·富兰克林和托马斯·杰斐逊在起草美国宪法时曾明确研究过这个联盟，并承认这种本土的政治设计在成熟度上超过了任何欧洲君主国。在这个意义上，美国的政治实验既源于本土的政治想象，也源于欧洲启蒙运动的文本。
**Q1:** 为苏族人提供肉类、兽皮、肌腱、角和可燃燃料的单一草地动物是
A 驼鹿。
B 叉角羚。
C 美洲野牛。
D 长角牛。
**A1:** C
**Q2:** 易洛魁五族统一在一个单一的协商议会之下，其形式为
A 君主国。
B 联盟（邦联）。
C 部落联盟。
D 军事同盟。
**A2:** B
**Q3:** 本杰明·富兰克林和托马斯·杰斐逊在起草美国的哪项文件时研究了易洛魁的设计
A 权利法案。
B 仅有独立宣言。
C 宪法。
D 联邦党人文集。
**A3:** C
## 10.5 平原与黑脉金斑蝶
洛基山脉像一条巨大的脊梁一样在北美内陆西部升起，拦截了充满水汽的太平洋空气，并在东部的真大平原上投下了巨大的雨影区。在欧洲人到来之前，数以千万计的美洲野牛在这些平原上觅食，这是地球上除非洲萨瓦纳稀树草原外最大的大型哺乳动物群。在这片相同的草地上，每年秋天，黑脉金斑蝶（帝王蝶）都会进行一场任何一只单一蝴蝶在其寿命内都无法独自完成的迁徙。它们离开加拿大和美国北部，向南飞行四千公里，到达墨西哥中部的一小片冷杉林，并在它们祖父母出发的同一棵树上聚集过冬。它们的迁徙路线完全编码在它们的基因中；没有一只活着的蝴蝶以前完整地飞过这条路线。
**Q1:** 导致大平原东部干燥的雨影区是由以下哪座山脉投下的
A 阿巴拉契亚山脉。
B 洛基山脉。
C 马德雷山脉。
D 海岸山脉。
**A2:** B
**Q2:** 每年秋天从加拿大向南飞往墨西哥四千公里的蝴蝶是
A 金凤蝶。
B 黑脉金斑蝶（帝王蝶）。
C 姬红蛱蝶。
D 副王蛱蝶。
**A2:** B
**Q3:** 越冬的帝王蝶每年聚集在墨西哥中部相同的那些
A 橡树林树木上。
B 冷杉林树木上。
C 竹林树木上。
D 松树萨瓦纳树木上。
**A3:** B
## 10.6 冰川留下的湖泊
五座巨大的淡水湖占据了美国和加拿大之间的盆地，它们是更新世冰期冰川在后退时在大陆地盾上磨蚀出凹陷后留下的遗迹。五大湖容纳了地球上五分之一以上的地表淡水。尼亚加拉河连接了伊利湖和安大略湖，在尼亚加拉大瀑布的陡峭悬崖上倾泻而下，形成了一道永久的垂直落水帘。由于落水的侵蚀，悬崖本身正在逐渐向游后退，按照目前的侵蚀速度，大瀑布最终将完全吞噬伊利湖。从魁北克到明尼苏达的整个景观仍然带着冰川冲刷的伤痕：被磨平的基岩、堆积的冰碛、散落的鼓丘，以及冰川撤退时留下的长长平行擦痕。
**Q1:** 地球上超过五分之一的地表淡水储存在
A 里海。
B 五大湖。
C 仅有贝加尔湖。
D 哈德逊湾。
**A1:** B
**Q2:** 伊利湖最终将因以下哪项的向上游后退而被完全吞噬
A 冰川融水。
B 尼亚加拉大瀑布。
C 安大略湖。
D 圣劳伦斯急流。
**A2:** B
**Q3:** 五大湖的盆地是由后退的以下哪项在大陆地盾上磨蚀出来的
A 河流系统。
B 更新世冰期冰川。
C 小行星撞击。
D 火山熔岩流。
**A3:** B
## 10.7 峡谷、火山与冰川
科罗拉多河历经数百万年，在隆起的科罗拉多高原上雕刻出了大峡谷，向下侵蚀了近两公里，穿过层层沉积岩，暴露出了跨越地球近二十亿年历史的地质柱。再往北的黄石高原在地下深藏着一座超级火山，其岩浆房距离地面仅有几公里；整个地区因温泉、间歇泉和冒泡的泥浆池而律动，未来的充分喷发将把火山灰沉积到整个大陆。再向北，阿拉斯加的冰川从海岸山脉向太平洋延伸，直接将冰山崩解到寒冷的峡湾中，座头鲸和兽鲸（虎鲸）在那里捕食鲑鱼和海豹。北美保留了其他大陆都无法完全企及的地质极端特征。
**Q1:** 暴露出跨越近二十亿年历史地质柱的峡谷是
A 布莱斯峡谷。
B 由科罗拉多河雕刻的大峡谷。
C 地狱峡谷。
D 甘尼森黑峡谷。
**A1:** B
**Q2:** 其岩浆房距离地面仅有几公里的超级火山隐藏在以下哪项之下
A 火山口湖。
B 优胜美地。
C 黄石高原。
D 圣海伦斯火山。
**A2:** C
**Q3:** 由黄石岩浆驱动的定期热水喷发被称为
A 喷气孔。
B 间歇泉。
C 仅有温泉。
D 泥浆池。
**A3:** B
## 10.8 五月花号的冬天
一小群被称为“清教徒先辈”（Pilgrims）的英国宗教异见者乘坐“五月花号”向西横渡大西洋，寻找不受迫害地践行他们改革后的新教信仰的自由。他们原本的目的地是弗吉尼亚殖民地，但风暴将他们推向了北方，他们最终在现代马萨诸塞州的海岸登陆。第一个冬天通过寒冷、饥饿和疾病消灭了这支小社区中近一半的人。幸存者在接下来的春天里得到了当地万帕诺亚格人的指导，他们教导清教徒哪些作物可以在新英格兰的土地上耕作，以及如何捕获当地的火鸡、鹿和贝类。在秋收时节，这两个群体聚集在一起举行了分享宴会，以答谢一年的幸存，由此产生的这顿饭已被仪式化为美国的国家节日——感恩节。
**Q1:** 乘坐五月花号寻找践行其改革信仰自由的英国宗教异见者被称为
A 仅有清教徒（Puritans）。
B 清教徒先辈（Pilgrims）。
C 贵格会。
D 再洗礼派。
**A1:** B
**Q2:** 在接下来的春天里指导幸存清教徒先辈的本土人民是
A 易洛魁人。
B 万帕诺亚格人。
C 摩霍克人。
D 切罗基人。
**A2:** B
**Q3:** 两个社区之间的秋收饭已被仪式化为美国的国家节日
A 独立日。
B 阵亡烈士纪念日。
C 感恩节。
D 哥伦布日。
**A3:** C
## 10.9 风筝与茶叶
本杰明·富兰克林将一个系有钥匙的风筝放飞进雷雨中，证明了闪电由相同的电流组成，这种电流可以在他费城实验室的莱顿瓶中产生，并设计了避雷针作为他发现的家用应用。几十年后，当英国议会对美洲殖民地征收又一项税收，却不允许他们在征税的议会中拥有代表席位时，伪装成摩霍克战士的波士顿爱国者登上了港口的三艘英国船只，并将整批被征税的茶叶倾倒入海中。由此引发的对抗升级为美国独立战争，律师托马斯·杰斐逊起草了《独立宣言》，其开篇条款宣称人人生而平等，尽管杰斐逊本人终生拥有数百名受奴役的非洲人。
**Q1:** 富兰克林在雷雨中进行风筝与钥匙实验证明了闪电由以下哪项组成
A 仅有静电热。
B 与可存储在莱顿瓶中的相同电流。
C 压缩等离子体。
D 磁化水蒸气。
**A1:** B
**Q2:** 伪装成摩霍克战士的波士顿爱国者倾倒入港口的商品是
A 糖。
B 鸦片。
C 无代表征税的茶叶。
D 进口纺织品箱。
**A2:** C
**Q3:** 由此引发的对抗升级为了
A 美国内战。
B 美国独立战争。
C 1812年战争。
D 法国与印第安人战争。
**A3:** B
## 10.10 黄金与眼泪
在加利福尼亚发现黄金的消息引发了成千上万的淘金者通过马车队和快船向西迁移，将旧金山这个小港口瞬间变成了一个大都市。为了将新的西部定居点与东部的人口中心连接起来，美国建造了横贯大陆的铁路，利用爱尔兰移民和引进的中国劳工的劳动，在内华达山脉中炸开隧道，许多人在炸药爆炸中丧生。为了给白人定居点清除障碍，切罗基人、乔克托人、克里克人和塞米诺尔人被强行赶出他们在美国东南部的祖传土地，并在枪口下向西游行到俄克拉荷马州的指定保留地。四分之一的游行者在途中死于挨冻、饥饿和疾病。他们被迫穿越的路线现在被称为“眼泪之路”。
**Q1:** 成千上万的淘金者涌入加利福尼亚是为了追逐
A 白银。
B 黄金。
C 青铜。
D 石油。
**A1:** B
**Q2:** 爱尔兰和引进的中国劳工在内华达山脉炸开隧道是为了完成
A 伊利运河。
B 小马快递。
C 横贯大陆的铁路。
D 太平洋电报线。
**A2:** C
**Q3:** 切罗基人、乔克托人、克里克人和塞米诺尔人被强行赶出家园并在枪口下押送到指定的
A 流放地。
B 俄克拉荷马州保留地。
C 种植园劳工营。
D 加利福尼亚淘金定居点。
**A3:** B
## 10.11 为奴隶制而战
美国南部的经济基础变成了棉花种植园，其运作绝对需要数百万受奴役非洲人的无偿劳动。北部各州由于工业化较早，不再依赖奴隶制，并日益从道德角度反对它。温和的反对奴隶制律师亚伯拉罕·林肯当选总统，引发了南部各州的分裂，随后引发的内战夺走的美国人生命比此后所有美国战争的总和还要多。林肯签署了《解放黑奴宣言》，并在战争即将结束时在华盛顿的一家剧院被一名南部同情者刺杀。法律上的废除并没有带来平等。黑人美国人又忍受了整整一个世纪的隔离、私刑和剥夺公民权，直到民权活动家马丁·路德·金发表了《我有一个梦想》的演讲，国会最终通过联邦立法强制执行种族平等。
**Q1:** 南部各州为了维护而宣布分裂的经济体制是棉花种植园对以下哪项的依赖
A 契约劳工。
B 奴隶制。
C 分成制（分成佃农）。
D 囚犯租赁。
**A1:** B
**Q2:** 林肯在战时发表的宣言启动了以下哪项政治进程
A 重建。
B 解放。
C 和解。
D 分裂（脱离联邦）。
**A2:** B
**Q3:** 马丁·路德·金作为以下哪个运动的领袖发表了《我有一个梦想》的演讲
A 废奴运动。
B 女性参政权运动。
C 民权运动。
D 重建国会。
**A3:** C
## 10.12 源自田野的音乐
在棉田里劳作的受奴役非洲人的劳动歌、同步集体劳动节奏的一呼一应的号子，以及改编自圣经文本的灵歌，历经几代人演变成了被称为蓝调（布鲁斯）的世俗音乐。随着黑人移民在二十世纪北移到芝加哥和纽约，蓝调与欧洲和声理论及高超的即兴创作技巧相碰撞，产生了爵士乐——第一种独特的美国艺术形式。灵魂乐和节奏蓝调（R&B）从福音唱诗班中演变而来。白人歌手埃尔维斯·普雷斯利（猫王）将黑人节奏蓝调改编成了摇滚乐，使整整一代白人美国青少年为这种源自黑人的音乐而疯狂。布朗克斯的黑人青少年最终将说唱韵律叠加在循环的乐器采样上，创造了嘻哈（Hip-Hop）——当今时代占据主导地位的全球流行音乐。每一首现代流行歌曲都源自田野的号子。
**Q1:** 从劳动歌、一呼一应的号子和灵歌中成长起来的世俗音乐是
A 福音音乐。
B 蓝调（布鲁斯）。
C 拉格泰姆。
D 仅有灵魂乐。
**A1:** B
**Q2:** 当蓝调与欧洲和声理论及即兴创作技巧碰撞时产生的首个独特美国艺术形式是
A 爵士乐。
B 摇滚乐。
C 蓝草音乐。
D 乡村音乐。
**A2:** A
**Q3:** 布朗克斯的黑人青少年将说唱韵律叠加在循环的乐器采样上创造了
A 迪斯科。
B 朋克（放克）。
C 嘻哈。
D 电子舞曲（Techno）。
**A3:** C
## 10.13 光明与火花
美国发明家爱迪生在新泽西州建立了一个研究实验室，并生产出了第一款具备商业可行性的白炽灯泡、留声机和电影摄像机，最终累计获得了超过一千项专利。他坚称直流电是家用电唯一安全的形式，并在全国巡回电击流浪狗甚至一头大象，以展示其竞争对手系统的所谓危险。他出生于塞尔维亚的前助手尼古拉·特斯拉是一位著名的聪明实验家，与制造商威斯汀豪斯（西屋电气）合作，主张使用交流电，其在长距离上的较低传输损耗使得电力可以经济地从一个单一的发电站分配到整个城市。物理学最终青睐了特斯拉，美国的电网采用了交流电建设。特斯拉本人尽管有一长串的发明清单，却在纽约一家小旅馆里贫困交加地去世，而爱迪生留下了庞大的工业帝国，他的名字印在每一家主要的美国公用事业公司上。
**Q1:** 在其职业生涯中，爱迪生累计获得了超过一千项
A 商标。
B 专利。
C 版权。
D 诺贝尔奖。
**A1:** B
**Q2:** 爱迪生创造了第一款具备商业可行性的声音播放设备，被称为
A 仅有唱机。
B 留声机。
C 磁带录音机。
D 蜡筒麦克风。
**A2:** B
**Q3:** 美国电网最终建立在特斯拉所青睐的系统上，即
A 直流电。
B 交流电。
C 高压蒸汽。
D 低频脉冲电流。
**A3:** B
## 10.14 电话、飞机与流水线
苏格兰裔美国人亚历山大·格拉汉姆·贝尔在试图为他失聪的母亲设计助听器时，不小心发明了电话，并首次证明了人类的声音可以通过电线传输。在俄亥俄州以修理自行车为生的莱特兄弟，在北卡罗来纳州的沙丘上进行了耐心的空气动力学实验，直到他们在一架木制滑翔机上实现了首次持续的动力飞行，他们通过缆绳和滑轮控制使其翼面翘曲，从而奠定了整个现代航空工业的基础。亨利·福特在底特律设计了移动式汽车装配流水线，将T型车的价格降到了普通美国工人负担得起的水平，并有效地将汽车从贵族的玩具转变为日常交通工具，重塑了此后建造的每一座美国城市。
**Q1:** 在试图为他失聪的母亲建造助听器时，亚历山大·格拉汉姆·贝尔意外发明了
A 麦克风。
B 电话。
C 留声机。
D 无线电。
**A1:** B
**Q2:** 在北卡罗来纳州的沙丘上，莱特兄弟在一架什么样的木制设备中实现了首次持续动力飞行
A 气球。
B 在俄亥俄州组装的双翼飞机。
C 通过缆绳和滑轮控制使其翼面翘曲的滑翔机。
D 降落伞跳伞装备。
**A2:** C
**Q3:** 亨利·福特在底特律通过设计以下哪项重塑了美国制造业
A 移动式高炉。
B 蒸汽压机。
C 汽车装配流水线。
D 传送带印刷机。
**A3:** C
## 10.15 大亨与图书馆
约翰·D·洛克菲勒从俄亥俄州的一家单一炼油厂开始，在其职业生涯中将全美百分之九十的石油精炼整合到一个名为标准石油的单一公司中，积累了此后任何美国人都未曾超越的个人财富。安德鲁·卡内基小时候从苏格兰移民到匹兹堡的钢铁厂，从纺织厂的童工做起，将美国钢铁工业建设成一个垂直整合的帝国，并在退休时以数亿美元的价格将其出售。两人在财富积累阶段都曾用私人军队镇压工人罢工。然而，两人最终都将他们巨大财富的大部分捐赠用于资助图书馆、大学、博物馆和音乐厅，当今美国大约一半的主要文化和教育机构之所以存在，都是因为他们镀金时代积累财富的再分配。
**Q1:** 洛克菲勒将全美百分之九十的石油精炼整合到一个单一的公司中，实现了市场
A 寡头垄断。
B 独占（垄断）。
C 卡特尔。
D 合作社。
**A1:** B
**Q2:** 安德鲁·卡内基在以下哪个重金属工业上建立了他垂直整合的帝国
A 铜。
B 铝。
C 匹兹堡的钢铁。
D 新英格兰的锡。
**A2:** C
**Q3:** 两人将他们的大部分财富捐赠用于资助其他机构，其中包括数千所公共
A 仅有学校。
B 图书馆。
C 医院。
D 歌剧院。
**A3:** B
## 10.16 崩溃与战争
